Dataset,Name,Arch,Tacc,Tecekde
MHIST,baseline,Resnet34,0.7963,0.2616
MHIST,ls,Resnet34,0.7963,0.2065
MHIST,baseline_fl,Resnet34,0.7984,0.2416
MHIST,baseline_dca,Resnet34,0.783,0.1388
MHIST,baseline_mdca,Resnet34,0.8096,0.2582
MHIST,ours_alpha05,Resnet34,0.8076,0.1458
MHIST,baseline,Resnet34,0.7308,0.4048
MHIST,ls,Resnet34,0.7697,0.1698
MHIST,baseline_fl,Resnet34,0.7973,0.1936
MHIST,baseline_dca,Resnet34,0.7666,0.1978
MHIST,baseline_mdca,Resnet34,0.8137,0.2374
MHIST,ours_alpha05,Resnet34,0.8127,0.1174
MHIST,baseline,Resnet34,0.7871,0.3506
MHIST,ls,Resnet34,0.7943,0.1431
MHIST,baseline_fl,Resnet34,0.8137,0.2715
MHIST,baseline_dca,Resnet34,0.7851,0.2089
MHIST,baseline_mdca,Resnet34,0.784,0.1898
MHIST,ours_alpha05,Resnet34,0.824,0.1642
